Results of first Grid Search for parameters 'activation', 'neurons' and 'batch_size'.
Size of training set was 145, with 20 training epochs.
Possible parameters were:
activation: ['softmax', 'softplus', 'softsign', 'relu', 'tanh', 'sigmoid', 'hard_sigmoid', 'linear']
neurons: [5, 6, ... , 20]
batch_size: [1, 10, 100, 145]

Best: 0.917892 using {'activation': 'softplus', 'neurons': 17, 'batch_size': 100}
0.831278 (0.057848) with: {'activation': 'softplus', 'neurons': 5, 'batch_size': 10}
0.857722 (0.064709) with: {'activation': 'softplus', 'neurons': 6, 'batch_size': 10}
0.823213 (0.057040) with: {'activation': 'softplus', 'neurons': 7, 'batch_size': 10}
0.851534 (0.065975) with: {'activation': 'softplus', 'neurons': 8, 'batch_size': 10}
0.839524 (0.071888) with: {'activation': 'softplus', 'neurons': 9, 'batch_size': 10}
0.847831 (0.059738) with: {'activation': 'softplus', 'neurons': 10, 'batch_size': 10}
0.847675 (0.072083) with: {'activation': 'softplus', 'neurons': 11, 'batch_size': 10}
0.869667 (0.050487) with: {'activation': 'softplus', 'neurons': 12, 'batch_size': 10}
0.863653 (0.065476) with: {'activation': 'softplus', 'neurons': 13, 'batch_size': 10}
0.853684 (0.043158) with: {'activation': 'softplus', 'neurons': 14, 'batch_size': 10}
0.862045 (0.040318) with: {'activation': 'softplus', 'neurons': 15, 'batch_size': 10}
0.873469 (0.046929) with: {'activation': 'softplus', 'neurons': 16, 'batch_size': 10}
0.874947 (0.044014) with: {'activation': 'softplus', 'neurons': 17, 'batch_size': 10}
0.857944 (0.043823) with: {'activation': 'softplus', 'neurons': 18, 'batch_size': 10}
0.873049 (0.043857) with: {'activation': 'softplus', 'neurons': 19, 'batch_size': 10}
0.850838 (0.051234) with: {'activation': 'softplus', 'neurons': 5, 'batch_size': 100}
0.870697 (0.046071) with: {'activation': 'softplus', 'neurons': 6, 'batch_size': 100}
0.837037 (0.065269) with: {'activation': 'softplus', 'neurons': 7, 'batch_size': 100}
0.861436 (0.065302) with: {'activation': 'softplus', 'neurons': 8, 'batch_size': 100}
0.875689 (0.046854) with: {'activation': 'softplus', 'neurons': 9, 'batch_size': 100}
0.859967 (0.034574) with: {'activation': 'softplus', 'neurons': 10, 'batch_size': 100}
0.887827 (0.040943) with: {'activation': 'softplus', 'neurons': 11, 'batch_size': 100}
0.880378 (0.030431) with: {'activation': 'softplus', 'neurons': 12, 'batch_size': 100}
0.881117 (0.063031) with: {'activation': 'softplus', 'neurons': 13, 'batch_size': 100}
0.896297 (0.051229) with: {'activation': 'softplus', 'neurons': 14, 'batch_size': 100}
0.897552 (0.063496) with: {'activation': 'softplus', 'neurons': 15, 'batch_size': 100}
0.909446 (0.032251) with: {'activation': 'softplus', 'neurons': 16, 'batch_size': 100}
0.917892 (0.032139) with: {'activation': 'softplus', 'neurons': 17, 'batch_size': 100}
0.894647 (0.043648) with: {'activation': 'softplus', 'neurons': 18, 'batch_size': 100}
0.890293 (0.044402) with: {'activation': 'softplus', 'neurons': 19, 'batch_size': 100}
0.853618 (0.048443) with: {'activation': 'softplus', 'neurons': 5, 'batch_size': 145}
0.866590 (0.050250) with: {'activation': 'softplus', 'neurons': 6, 'batch_size': 145}
0.869111 (0.050350) with: {'activation': 'softplus', 'neurons': 7, 'batch_size': 145}
0.875138 (0.028348) with: {'activation': 'softplus', 'neurons': 8, 'batch_size': 145}
0.873584 (0.034112) with: {'activation': 'softplus', 'neurons': 9, 'batch_size': 145}
0.880086 (0.065746) with: {'activation': 'softplus', 'neurons': 10, 'batch_size': 145}
0.884473 (0.036478) with: {'activation': 'softplus', 'neurons': 11, 'batch_size': 145}
0.886817 (0.033288) with: {'activation': 'softplus', 'neurons': 12, 'batch_size': 145}
0.893476 (0.033016) with: {'activation': 'softplus', 'neurons': 13, 'batch_size': 145}
0.892153 (0.052135) with: {'activation': 'softplus', 'neurons': 14, 'batch_size': 145}
0.895434 (0.035507) with: {'activation': 'softplus', 'neurons': 15, 'batch_size': 145}
0.882748 (0.041127) with: {'activation': 'softplus', 'neurons': 16, 'batch_size': 145}
0.890276 (0.032723) with: {'activation': 'softplus', 'neurons': 17, 'batch_size': 145}
0.915368 (0.044953) with: {'activation': 'softplus', 'neurons': 18, 'batch_size': 145}
0.898968 (0.058822) with: {'activation': 'softplus', 'neurons': 19, 'batch_size': 145}
0.783525 (0.091673) with: {'activation': 'softsign', 'neurons': 5, 'batch_size': 1}
0.761904 (0.064118) with: {'activation': 'softsign', 'neurons': 6, 'batch_size': 1}
0.775948 (0.062636) with: {'activation': 'softsign', 'neurons': 7, 'batch_size': 1}
0.761346 (0.083508) with: {'activation': 'softsign', 'neurons': 8, 'batch_size': 1}
0.755697 (0.072220) with: {'activation': 'softsign', 'neurons': 9, 'batch_size': 1}
0.752119 (0.071636) with: {'activation': 'softsign', 'neurons': 10, 'batch_size': 1}
0.776678 (0.079523) with: {'activation': 'softsign', 'neurons': 11, 'batch_size': 1}
0.780800 (0.087744) with: {'activation': 'softsign', 'neurons': 12, 'batch_size': 1}
0.789518 (0.063636) with: {'activation': 'softsign', 'neurons': 13, 'batch_size': 1}
0.795287 (0.062588) with: {'activation': 'softsign', 'neurons': 14, 'batch_size': 1}
0.796481 (0.079894) with: {'activation': 'softsign', 'neurons': 15, 'batch_size': 1}
0.788481 (0.072899) with: {'activation': 'softsign', 'neurons': 16, 'batch_size': 1}
0.793602 (0.092946) with: {'activation': 'softsign', 'neurons': 17, 'batch_size': 1}
0.775701 (0.058221) with: {'activation': 'softsign', 'neurons': 18, 'batch_size': 1}
0.796860 (0.066583) with: {'activation': 'softsign', 'neurons': 19, 'batch_size': 1}
0.549122 (0.066975) with: {'activation': 'softsign', 'neurons': 5, 'batch_size': 10}
0.690306 (0.072512) with: {'activation': 'softsign', 'neurons': 6, 'batch_size': 10}
0.650359 (0.087220) with: {'activation': 'softsign', 'neurons': 7, 'batch_size': 10}
0.711153 (0.099866) with: {'activation': 'softsign', 'neurons': 8, 'batch_size': 10}
0.785601 (0.060164) with: {'activation': 'softsign', 'neurons': 9, 'batch_size': 10}
0.758366 (0.063826) with: {'activation': 'softsign', 'neurons': 10, 'batch_size': 10}
0.774893 (0.064764) with: {'activation': 'softsign', 'neurons': 11, 'batch_size': 10}
0.693749 (0.066552) with: {'activation': 'softsign', 'neurons': 12, 'batch_size': 10}
0.722014 (0.058305) with: {'activation': 'softsign', 'neurons': 13, 'batch_size': 10}
0.798337 (0.090224) with: {'activation': 'softsign', 'neurons': 14, 'batch_size': 10}
0.790906 (0.067025) with: {'activation': 'softsign', 'neurons': 15, 'batch_size': 10}
0.812603 (0.085201) with: {'activation': 'softsign', 'neurons': 16, 'batch_size': 10}
0.804903 (0.078485) with: {'activation': 'softsign', 'neurons': 17, 'batch_size': 10}
0.821323 (0.079328) with: {'activation': 'softsign', 'neurons': 18, 'batch_size': 10}
0.789471 (0.065572) with: {'activation': 'softsign', 'neurons': 19, 'batch_size': 10}
0.508805 (0.034119) with: {'activation': 'softsign', 'neurons': 5, 'batch_size': 100}
0.489218 (0.034944) with: {'activation': 'softsign', 'neurons': 6, 'batch_size': 100}
0.711524 (0.124425) with: {'activation': 'softsign', 'neurons': 7, 'batch_size': 100}
0.578794 (0.140146) with: {'activation': 'softsign', 'neurons': 8, 'batch_size': 100}
0.627155 (0.098630) with: {'activation': 'softsign', 'neurons': 9, 'batch_size': 100}
0.738237 (0.156837) with: {'activation': 'softsign', 'neurons': 10, 'batch_size': 100}
0.604822 (0.113488) with: {'activation': 'softsign', 'neurons': 11, 'batch_size': 100}
0.624818 (0.071453) with: {'activation': 'softsign', 'neurons': 12, 'batch_size': 100}
0.688449 (0.133085) with: {'activation': 'softsign', 'neurons': 13, 'batch_size': 100}
0.782650 (0.119007) with: {'activation': 'softsign', 'neurons': 14, 'batch_size': 100}
0.705343 (0.087834) with: {'activation': 'softsign', 'neurons': 15, 'batch_size': 100}
0.773641 (0.060241) with: {'activation': 'softsign', 'neurons': 16, 'batch_size': 100}
0.838312 (0.059972) with: {'activation': 'softsign', 'neurons': 17, 'batch_size': 100}
0.756531 (0.019831) with: {'activation': 'softsign', 'neurons': 18, 'batch_size': 100}
0.754985 (0.092087) with: {'activation': 'softsign', 'neurons': 19, 'batch_size': 100}
0.588301 (0.070222) with: {'activation': 'softsign', 'neurons': 5, 'batch_size': 145}
0.697966 (0.106566) with: {'activation': 'softsign', 'neurons': 6, 'batch_size': 145}
0.487153 (0.036803) with: {'activation': 'softsign', 'neurons': 7, 'batch_size': 145}
0.714967 (0.094037) with: {'activation': 'softsign', 'neurons': 8, 'batch_size': 145}
0.605330 (0.090946) with: {'activation': 'softsign', 'neurons': 9, 'batch_size': 145}
0.676893 (0.096073) with: {'activation': 'softsign', 'neurons': 10, 'batch_size': 145}
0.617203 (0.150328) with: {'activation': 'softsign', 'neurons': 11, 'batch_size': 145}
0.725676 (0.090699) with: {'activation': 'softsign', 'neurons': 12, 'batch_size': 145}
0.679427 (0.128970) with: {'activation': 'softsign', 'neurons': 13, 'batch_size': 145}
0.734787 (0.125556) with: {'activation': 'softsign', 'neurons': 14, 'batch_size': 145}
0.638475 (0.153137) with: {'activation': 'softsign', 'neurons': 15, 'batch_size': 145}
0.858208 (0.039457) with: {'activation': 'softsign', 'neurons': 16, 'batch_size': 145}
0.802505 (0.046278) with: {'activation': 'softsign', 'neurons': 17, 'batch_size': 145}
0.754155 (0.133607) with: {'activation': 'softsign', 'neurons': 18, 'batch_size': 145}
0.736744 (0.126078) with: {'activation': 'softsign', 'neurons': 19, 'batch_size': 145}
0.817624 (0.067612) with: {'activation': 'relu', 'neurons': 5, 'batch_size': 1}
0.830317 (0.066175) with: {'activation': 'relu', 'neurons': 6, 'batch_size': 1}
0.753918 (0.179104) with: {'activation': 'relu', 'neurons': 7, 'batch_size': 1}
0.815974 (0.066673) with: {'activation': 'relu', 'neurons': 8, 'batch_size': 1}
0.844560 (0.053298) with: {'activation': 'relu', 'neurons': 9, 'batch_size': 1}
0.829492 (0.072566) with: {'activation': 'relu', 'neurons': 10, 'batch_size': 1}
0.827026 (0.068130) with: {'activation': 'relu', 'neurons': 11, 'batch_size': 1}
0.831066 (0.055548) with: {'activation': 'relu', 'neurons': 12, 'batch_size': 1}
0.834860 (0.057894) with: {'activation': 'relu', 'neurons': 13, 'batch_size': 1}
0.859169 (0.067299) with: {'activation': 'relu', 'neurons': 14, 'batch_size': 1}
0.838376 (0.069247) with: {'activation': 'relu', 'neurons': 15, 'batch_size': 1}
0.823603 (0.053142) with: {'activation': 'relu', 'neurons': 16, 'batch_size': 1}
0.849130 (0.053870) with: {'activation': 'relu', 'neurons': 17, 'batch_size': 1}
0.842000 (0.052496) with: {'activation': 'relu', 'neurons': 18, 'batch_size': 1}
0.837227 (0.049527) with: {'activation': 'relu', 'neurons': 19, 'batch_size': 1}
0.719532 (0.173799) with: {'activation': 'relu', 'neurons': 5, 'batch_size': 10}
0.709711 (0.160235) with: {'activation': 'relu', 'neurons': 6, 'batch_size': 10}
0.839517 (0.057901) with: {'activation': 'relu', 'neurons': 7, 'batch_size': 10}
0.859691 (0.044242) with: {'activation': 'relu', 'neurons': 8, 'batch_size': 10}
0.850029 (0.069267) with: {'activation': 'relu', 'neurons': 9, 'batch_size': 10}
0.846197 (0.050643) with: {'activation': 'relu', 'neurons': 10, 'batch_size': 10}
0.879233 (0.048371) with: {'activation': 'relu', 'neurons': 11, 'batch_size': 10}
0.853066 (0.067977) with: {'activation': 'relu', 'neurons': 12, 'batch_size': 10}
0.840579 (0.057955) with: {'activation': 'relu', 'neurons': 13, 'batch_size': 10}
0.846304 (0.055254) with: {'activation': 'relu', 'neurons': 14, 'batch_size': 10}
0.845943 (0.064102) with: {'activation': 'relu', 'neurons': 15, 'batch_size': 10}
0.845653 (0.065963) with: {'activation': 'relu', 'neurons': 16, 'batch_size': 10}
0.862148 (0.053324) with: {'activation': 'relu', 'neurons': 17, 'batch_size': 10}
0.868546 (0.057136) with: {'activation': 'relu', 'neurons': 18, 'batch_size': 10}
0.871518 (0.028517) with: {'activation': 'relu', 'neurons': 19, 'batch_size': 10}
0.824714 (0.073135) with: {'activation': 'relu', 'neurons': 5, 'batch_size': 100}
0.837665 (0.049665) with: {'activation': 'relu', 'neurons': 6, 'batch_size': 100}
0.832929 (0.029836) with: {'activation': 'relu', 'neurons': 7, 'batch_size': 100}
0.843580 (0.052235) with: {'activation': 'relu', 'neurons': 8, 'batch_size': 100}
0.851238 (0.030671) with: {'activation': 'relu', 'neurons': 9, 'batch_size': 100}
0.858862 (0.052045) with: {'activation': 'relu', 'neurons': 10, 'batch_size': 100}
0.866023 (0.055821) with: {'activation': 'relu', 'neurons': 11, 'batch_size': 100}
0.885205 (0.029137) with: {'activation': 'relu', 'neurons': 12, 'batch_size': 100}
0.863873 (0.062491) with: {'activation': 'relu', 'neurons': 13, 'batch_size': 100}
0.847327 (0.037728) with: {'activation': 'relu', 'neurons': 14, 'batch_size': 100}
0.877902 (0.049754) with: {'activation': 'relu', 'neurons': 15, 'batch_size': 100}
0.871230 (0.038757) with: {'activation': 'relu', 'neurons': 16, 'batch_size': 100}
0.856987 (0.031713) with: {'activation': 'relu', 'neurons': 17, 'batch_size': 100}
0.876909 (0.056066) with: {'activation': 'relu', 'neurons': 18, 'batch_size': 100}
0.883836 (0.050552) with: {'activation': 'relu', 'neurons': 19, 'batch_size': 100}
0.840580 (0.095995) with: {'activation': 'relu', 'neurons': 5, 'batch_size': 145}
0.820625 (0.067411) with: {'activation': 'relu', 'neurons': 6, 'batch_size': 145}
0.843806 (0.046474) with: {'activation': 'relu', 'neurons': 7, 'batch_size': 145}
0.878927 (0.049485) with: {'activation': 'relu', 'neurons': 8, 'batch_size': 145}
0.853578 (0.048176) with: {'activation': 'relu', 'neurons': 9, 'batch_size': 145}
0.838638 (0.051261) with: {'activation': 'relu', 'neurons': 10, 'batch_size': 145}
0.878003 (0.042902) with: {'activation': 'relu', 'neurons': 11, 'batch_size': 145}
0.866804 (0.050285) with: {'activation': 'relu', 'neurons': 12, 'batch_size': 145}
0.846545 (0.062660) with: {'activation': 'relu', 'neurons': 13, 'batch_size': 145}
0.851660 (0.046538) with: {'activation': 'relu', 'neurons': 14, 'batch_size': 145}
0.868856 (0.048234) with: {'activation': 'relu', 'neurons': 15, 'batch_size': 145}
0.869115 (0.047877) with: {'activation': 'relu', 'neurons': 16, 'batch_size': 145}
0.885836 (0.032841) with: {'activation': 'relu', 'neurons': 17, 'batch_size': 145}
0.865533 (0.047661) with: {'activation': 'relu', 'neurons': 18, 'batch_size': 145}
0.872247 (0.045030) with: {'activation': 'relu', 'neurons': 19, 'batch_size': 145}
0.595150 (0.033348) with: {'activation': 'tanh', 'neurons': 5, 'batch_size': 1}
0.556579 (0.030686) with: {'activation': 'tanh', 'neurons': 6, 'batch_size': 1}
0.621648 (0.022401) with: {'activation': 'tanh', 'neurons': 7, 'batch_size': 1}
0.608402 (0.100079) with: {'activation': 'tanh', 'neurons': 8, 'batch_size': 1}
0.536816 (0.009145) with: {'activation': 'tanh', 'neurons': 9, 'batch_size': 1}
0.587545 (0.058250) with: {'activation': 'tanh', 'neurons': 10, 'batch_size': 1}
0.599831 (0.134655) with: {'activation': 'tanh', 'neurons': 11, 'batch_size': 1}
0.648636 (0.100428) with: {'activation': 'tanh', 'neurons': 12, 'batch_size': 1}
0.659397 (0.061467) with: {'activation': 'tanh', 'neurons': 13, 'batch_size': 1}
0.618279 (0.096955) with: {'activation': 'tanh', 'neurons': 14, 'batch_size': 1}
0.723341 (0.148926) with: {'activation': 'tanh', 'neurons': 15, 'batch_size': 1}
0.760970 (0.102128) with: {'activation': 'tanh', 'neurons': 16, 'batch_size': 1}
0.686539 (0.083696) with: {'activation': 'tanh', 'neurons': 17, 'batch_size': 1}
0.690902 (0.093436) with: {'activation': 'tanh', 'neurons': 18, 'batch_size': 1}
0.690230 (0.030538) with: {'activation': 'tanh', 'neurons': 19, 'batch_size': 1}
0.637696 (0.071959) with: {'activation': 'tanh', 'neurons': 5, 'batch_size': 10}
0.773486 (0.075621) with: {'activation': 'tanh', 'neurons': 6, 'batch_size': 10}
0.711127 (0.083530) with: {'activation': 'tanh', 'neurons': 7, 'batch_size': 10}
0.791400 (0.081668) with: {'activation': 'tanh', 'neurons': 8, 'batch_size': 10}
0.782761 (0.072482) with: {'activation': 'tanh', 'neurons': 9, 'batch_size': 10}
0.784578 (0.068190) with: {'activation': 'tanh', 'neurons': 10, 'batch_size': 10}
0.812271 (0.069572) with: {'activation': 'tanh', 'neurons': 11, 'batch_size': 10}
0.770089 (0.108113) with: {'activation': 'tanh', 'neurons': 12, 'batch_size': 10}
0.841292 (0.046070) with: {'activation': 'tanh', 'neurons': 13, 'batch_size': 10}
0.782350 (0.081558) with: {'activation': 'tanh', 'neurons': 14, 'batch_size': 10}
0.825562 (0.092856) with: {'activation': 'tanh', 'neurons': 15, 'batch_size': 10}
0.785776 (0.086232) with: {'activation': 'tanh', 'neurons': 16, 'batch_size': 10}
0.806602 (0.078935) with: {'activation': 'tanh', 'neurons': 17, 'batch_size': 10}
0.812195 (0.095979) with: {'activation': 'tanh', 'neurons': 18, 'batch_size': 10}
0.839860 (0.093313) with: {'activation': 'tanh', 'neurons': 19, 'batch_size': 10}
0.702859 (0.062816) with: {'activation': 'tanh', 'neurons': 5, 'batch_size': 100}
0.769337 (0.137559) with: {'activation': 'tanh', 'neurons': 6, 'batch_size': 100}
0.799004 (0.023174) with: {'activation': 'tanh', 'neurons': 7, 'batch_size': 100}
0.732182 (0.164604) with: {'activation': 'tanh', 'neurons': 8, 'batch_size': 100}
0.692324 (0.147366) with: {'activation': 'tanh', 'neurons': 9, 'batch_size': 100}
0.837254 (0.018858) with: {'activation': 'tanh', 'neurons': 10, 'batch_size': 100}
0.782026 (0.076989) with: {'activation': 'tanh', 'neurons': 11, 'batch_size': 100}
0.748821 (0.109383) with: {'activation': 'tanh', 'neurons': 12, 'batch_size': 100}
0.869427 (0.073725) with: {'activation': 'tanh', 'neurons': 13, 'batch_size': 100}
0.827593 (0.047922) with: {'activation': 'tanh', 'neurons': 14, 'batch_size': 100}
0.779514 (0.149946) with: {'activation': 'tanh', 'neurons': 15, 'batch_size': 100}
0.833855 (0.110438) with: {'activation': 'tanh', 'neurons': 16, 'batch_size': 100}
0.841206 (0.028535) with: {'activation': 'tanh', 'neurons': 17, 'batch_size': 100}
0.852422 (0.019994) with: {'activation': 'tanh', 'neurons': 18, 'batch_size': 100}
0.844798 (0.048981) with: {'activation': 'tanh', 'neurons': 19, 'batch_size': 100}
0.650718 (0.147211) with: {'activation': 'tanh', 'neurons': 5, 'batch_size': 145}
0.737123 (0.050158) with: {'activation': 'tanh', 'neurons': 6, 'batch_size': 145}
0.775240 (0.069638) with: {'activation': 'tanh', 'neurons': 7, 'batch_size': 145}
0.742158 (0.078849) with: {'activation': 'tanh', 'neurons': 8, 'batch_size': 145}
0.774598 (0.102562) with: {'activation': 'tanh', 'neurons': 9, 'batch_size': 145}
0.791981 (0.012800) with: {'activation': 'tanh', 'neurons': 10, 'batch_size': 145}
0.828303 (0.052938) with: {'activation': 'tanh', 'neurons': 11, 'batch_size': 145}
0.834997 (0.056221) with: {'activation': 'tanh', 'neurons': 12, 'batch_size': 145}
0.834913 (0.037696) with: {'activation': 'tanh', 'neurons': 13, 'batch_size': 145}
0.788017 (0.104915) with: {'activation': 'tanh', 'neurons': 14, 'batch_size': 145}
0.882515 (0.048296) with: {'activation': 'tanh', 'neurons': 15, 'batch_size': 145}
0.895090 (0.038663) with: {'activation': 'tanh', 'neurons': 16, 'batch_size': 145}
0.914640 (0.022722) with: {'activation': 'tanh', 'neurons': 17, 'batch_size': 145}
0.891359 (0.045631) with: {'activation': 'tanh', 'neurons': 18, 'batch_size': 145}
0.861148 (0.012709) with: {'activation': 'tanh', 'neurons': 19, 'batch_size': 145}
0.792875 (0.079827) with: {'activation': 'sigmoid', 'neurons': 5, 'batch_size': 1}
0.613590 (0.039360) with: {'activation': 'sigmoid', 'neurons': 6, 'batch_size': 1}
0.642804 (0.071435) with: {'activation': 'sigmoid', 'neurons': 7, 'batch_size': 1}
0.744584 (0.106363) with: {'activation': 'sigmoid', 'neurons': 8, 'batch_size': 1}
0.610472 (0.080737) with: {'activation': 'sigmoid', 'neurons': 9, 'batch_size': 1}
0.774764 (0.064274) with: {'activation': 'sigmoid', 'neurons': 10, 'batch_size': 1}
0.761347 (0.089244) with: {'activation': 'sigmoid', 'neurons': 11, 'batch_size': 1}
0.764087 (0.069624) with: {'activation': 'sigmoid', 'neurons': 12, 'batch_size': 1}
0.675955 (0.122977) with: {'activation': 'sigmoid', 'neurons': 13, 'batch_size': 1}
0.765695 (0.066589) with: {'activation': 'sigmoid', 'neurons': 14, 'batch_size': 1}
